
ans = 

  <a href="matlab:helpPopup('datetime')" style="font-weight:bold">datetime</a>

   16-Mar-2025 18:28:33 +0000

[16-Mar-2025 18:28:37] Checking for availability of parallel pool...
[16-Mar-2025 19:16:23] Completed 45 of 191 simulation runs
[16-Mar-2025 19:21:04] Completed 46 of 191 simulation runs
[16-Mar-2025 19:21:16] Completed 47 of 191 simulation runs
[16-Mar-2025 19:25:36] Completed 48 of 191 simulation runs
[16-Mar-2025 19:26:02] Completed 49 of 191 simulation runs
[16-Mar-2025 19:29:47] Completed 50 of 191 simulation runs
[16-Mar-2025 19:30:27] Completed 51 of 191 simulation runs
[16-Mar-2025 19:33:59] Completed 52 of 191 simulation runs
[16-Mar-2025 19:36:00] Completed 53 of 191 simulation runs
[16-Mar-2025 19:36:26] Completed 54 of 191 simulation runs
[16-Mar-2025 19:39:32] Completed 55 of 191 simulation runs
[16-Mar-2025 19:41:16] Completed 56 of 191 simulation runs
[16-Mar-2025 19:41:46] Completed 57 of 191 simulation runs
[16-Mar-2025 19:44:29] Completed 58 of 191 simulation runs
[16-Mar-2025 19:45:14] Completed 59 of 191 simulation runs
[16-Mar-2025 19:46:26] Completed 60 of 191 simulation runs
[16-Mar-2025 19:47:09] Completed 61 of 191 simulation runs
[16-Mar-2025 19:50:20] Completed 62 of 191 simulation runs
[16-Mar-2025 19:50:43] Completed 63 of 191 simulation runs
[16-Mar-2025 19:51:51] Completed 64 of 191 simulation runs
[16-Mar-2025 19:52:08] Completed 65 of 191 simulation runs
[16-Mar-2025 19:57:53] Completed 66 of 191 simulation runs
[16-Mar-2025 19:58:15] Completed 67 of 191 simulation runs
[16-Mar-2025 19:59:17] Completed 68 of 191 simulation runs
[16-Mar-2025 20:02:06] Completed 69 of 191 simulation runs
[16-Mar-2025 20:03:26] Completed 70 of 191 simulation runs
[16-Mar-2025 20:05:00] Completed 71 of 191 simulation runs
[16-Mar-2025 20:05:04] Completed 72 of 191 simulation runs
[16-Mar-2025 20:07:51] Completed 73 of 191 simulation runs
[16-Mar-2025 20:08:46] Completed 74 of 191 simulation runs
[16-Mar-2025 20:10:01] Completed 75 of 191 simulation runs
[16-Mar-2025 20:10:05] Completed 76 of 191 simulation runs
[16-Mar-2025 20:13:01] Completed 77 of 191 simulation runs
[16-Mar-2025 20:13:51] Completed 78 of 191 simulation runs
[16-Mar-2025 20:15:16] Completed 79 of 191 simulation runs
[16-Mar-2025 20:15:39] Completed 80 of 191 simulation runs
[16-Mar-2025 20:18:34] Completed 81 of 191 simulation runs
[16-Mar-2025 20:19:20] Completed 82 of 191 simulation runs
[16-Mar-2025 20:20:39] Completed 83 of 191 simulation runs
[16-Mar-2025 20:21:18] Completed 84 of 191 simulation runs
[16-Mar-2025 20:23:55] Completed 85 of 191 simulation runs
[16-Mar-2025 20:24:28] Completed 86 of 191 simulation runs
[16-Mar-2025 20:25:32] Completed 87 of 191 simulation runs
[16-Mar-2025 20:26:29] Completed 88 of 191 simulation runs
[16-Mar-2025 20:28:59] Completed 89 of 191 simulation runs
[16-Mar-2025 20:29:22] Completed 90 of 191 simulation runs
[16-Mar-2025 20:30:17] Completed 91 of 191 simulation runs
[16-Mar-2025 20:31:26] Completed 92 of 191 simulation runs
[16-Mar-2025 20:31:40] Completed 93 of 191 simulation runs
[16-Mar-2025 20:32:55] Completed 94 of 191 simulation runs
[16-Mar-2025 20:33:38] Completed 95 of 191 simulation runs
[16-Mar-2025 20:33:43] Completed 96 of 191 simulation runs
[16-Mar-2025 20:34:34] Completed 97 of 191 simulation runs
[16-Mar-2025 20:35:22] Completed 98 of 191 simulation runs
[16-Mar-2025 20:35:48] Completed 99 of 191 simulation runs
[16-Mar-2025 20:36:47] Completed 100 of 191 simulation runs
[16-Mar-2025 20:37:40] Completed 101 of 191 simulation runs
[16-Mar-2025 20:37:42] Completed 102 of 191 simulation runs
[16-Mar-2025 20:38:42] Completed 103 of 191 simulation runs
[16-Mar-2025 20:39:50] Completed 104 of 191 simulation runs
[16-Mar-2025 20:40:37] Completed 105 of 191 simulation runs
[16-Mar-2025 20:42:04] Completed 106 of 191 simulation runs
[16-Mar-2025 20:42:47] Completed 107 of 191 simulation runs
[16-Mar-2025 20:43:41] Completed 108 of 191 simulation runs
[16-Mar-2025 20:44:43] Completed 109 of 191 simulation runs
[16-Mar-2025 20:45:01] Completed 110 of 191 simulation runs
[16-Mar-2025 20:47:03] Completed 111 of 191 simulation runs
[16-Mar-2025 20:48:00] Completed 112 of 191 simulation runs
[16-Mar-2025 20:48:48] Completed 113 of 191 simulation runs
[16-Mar-2025 20:49:30] Completed 114 of 191 simulation runs
[16-Mar-2025 20:51:07] Completed 115 of 191 simulation runs
[16-Mar-2025 20:51:28] Completed 116 of 191 simulation runs
[16-Mar-2025 20:55:20] Completed 117 of 191 simulation runs
[16-Mar-2025 20:56:39] Completed 118 of 191 simulation runs
[16-Mar-2025 20:56:53] Completed 119 of 191 simulation runs
[16-Mar-2025 20:57:19] Completed 120 of 191 simulation runs
[16-Mar-2025 20:57:57] Completed 121 of 191 simulation runs
[16-Mar-2025 21:02:52] Completed 122 of 191 simulation runs
[16-Mar-2025 21:02:59] Completed 123 of 191 simulation runs
[16-Mar-2025 21:03:05] Completed 124 of 191 simulation runs
[16-Mar-2025 21:07:55] Completed 125 of 191 simulation runs
[16-Mar-2025 21:08:19] Completed 126 of 191 simulation runs
[16-Mar-2025 21:08:21] Completed 127 of 191 simulation runs
[16-Mar-2025 21:13:06] Completed 128 of 191 simulation runs
[16-Mar-2025 21:13:35] Completed 129 of 191 simulation runs
[16-Mar-2025 21:13:36] Completed 130 of 191 simulation runs
[16-Mar-2025 21:14:02] Completed 131 of 191 simulation runs
[16-Mar-2025 21:18:10] Completed 132 of 191 simulation runs
[16-Mar-2025 21:18:31] Completed 133 of 191 simulation runs
[16-Mar-2025 21:18:41] Completed 134 of 191 simulation runs
[16-Mar-2025 21:18:51] Completed 135 of 191 simulation runs
[16-Mar-2025 21:22:12] Completed 136 of 191 simulation runs
[16-Mar-2025 21:23:19] Completed 137 of 191 simulation runs
[16-Mar-2025 21:24:12] Completed 138 of 191 simulation runs
[16-Mar-2025 21:24:41] Completed 139 of 191 simulation runs
[16-Mar-2025 21:25:48] Completed 140 of 191 simulation runs
[16-Mar-2025 21:30:39] Completed 141 of 191 simulation runs
[16-Mar-2025 21:31:42] Completed 142 of 191 simulation runs
[16-Mar-2025 21:33:23] Completed 143 of 191 simulation runs
[16-Mar-2025 21:42:47] Completed 144 of 191 simulation runs
[16-Mar-2025 21:43:43] Completed 145 of 191 simulation runs
[16-Mar-2025 22:06:15] Completed 146 of 191 simulation runs
[16-Mar-2025 22:10:13] Completed 147 of 191 simulation runs
[16-Mar-2025 22:15:10] Completed 148 of 191 simulation runs
[16-Mar-2025 22:23:48] Completed 149 of 191 simulation runs
[16-Mar-2025 22:30:17] Completed 150 of 191 simulation runs
[16-Mar-2025 22:30:29] Completed 151 of 191 simulation runs
[16-Mar-2025 22:31:00] Completed 152 of 191 simulation runs
[16-Mar-2025 22:32:45] Completed 153 of 191 simulation runs
[16-Mar-2025 22:35:59] Completed 154 of 191 simulation runs
[16-Mar-2025 22:36:02] Completed 155 of 191 simulation runs
[16-Mar-2025 22:37:59] Completed 156 of 191 simulation runs
[16-Mar-2025 22:40:32] Completed 157 of 191 simulation runs
[16-Mar-2025 22:40:33] Completed 158 of 191 simulation runs
[16-Mar-2025 22:42:12] Completed 159 of 191 simulation runs
[16-Mar-2025 22:44:37] Completed 160 of 191 simulation runs
[16-Mar-2025 22:44:58] Completed 161 of 191 simulation runs
[16-Mar-2025 22:47:03] Completed 162 of 191 simulation runs
[16-Mar-2025 22:48:52] Completed 163 of 191 simulation runs
[16-Mar-2025 22:49:18] Completed 164 of 191 simulation runs
[16-Mar-2025 22:51:34] Completed 165 of 191 simulation runs
[16-Mar-2025 22:52:59] Completed 166 of 191 simulation runs
[16-Mar-2025 22:53:35] Completed 167 of 191 simulation runs
[16-Mar-2025 22:56:03] Completed 168 of 191 simulation runs
[16-Mar-2025 22:57:17] Completed 169 of 191 simulation runs
[16-Mar-2025 22:57:59] Completed 170 of 191 simulation runs
[16-Mar-2025 23:00:13] Completed 171 of 191 simulation runs
[16-Mar-2025 23:01:09] Completed 172 of 191 simulation runs
[16-Mar-2025 23:02:07] Completed 173 of 191 simulation runs
[16-Mar-2025 23:03:00] Completed 174 of 191 simulation runs
[16-Mar-2025 23:04:30] Completed 175 of 191 simulation runs
[16-Mar-2025 23:04:49] Completed 176 of 191 simulation runs
[16-Mar-2025 23:06:12] Completed 177 of 191 simulation runs
[16-Mar-2025 23:07:04] Completed 178 of 191 simulation runs
[16-Mar-2025 23:08:34] Completed 179 of 191 simulation runs
[16-Mar-2025 23:08:48] Completed 180 of 191 simulation runs
[16-Mar-2025 23:10:10] Completed 181 of 191 simulation runs
[16-Mar-2025 23:11:20] Completed 182 of 191 simulation runs
[16-Mar-2025 23:12:02] Completed 183 of 191 simulation runs
[16-Mar-2025 23:12:27] Completed 184 of 191 simulation runs
[16-Mar-2025 23:13:41] Completed 185 of 191 simulation runs
[16-Mar-2025 23:18:41] Cleaning up parallel workers...
Elapsed time is 17417.468525 seconds.
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
Possible causes include that the disk quota is exhausted or the folder is no longer accessible for
writing.] 
[> In <a href="matlab:matlab.lang.internal.introspective.errorDocCallback('RUN_EVERYTHING', 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m', 116)" style="font-weight:bold">RUN_EVERYTHING</a> (<a href="matlab: opentoline('C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Model\Sensitivity_sweep\RUN_EVERYTHING.m',116,0)">line 116</a>)] 
[Warning: While saving an object of class 'Simulink.SimulationData.Dataset':
Unable to write to file 'C:\Users\hc21562\Documents\Year_3\RP3\LH2_Refuel_Model\Graphs\simOut.mat'
specified in  'Configuration Parameters' > 'Data Import/Export' > 'Log Dataset data to file'.
